Tweets Ago,Name,Time,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
15,@BBC,Tue Mar 13 08:00:03 +0000 2018,Marianne's search for her missing daughter could be straight out of the film #ThreeBillboards. https://t.co/dph6hhzlXi,-0.0772,0.111,0.129,0.76
16,@BBC,Mon Mar 12 20:17:27 +0000 2018,"RT @BBCOne: ❤️ Edina, but kind of glad she's not our mum. https://t.co/lQINpsfQuA",0.5515,0.229,0.0,0.771
17,@BBC,Mon Mar 12 20:16:22 +0000 2018,"RT @BBCnireland: Christopher suffered a severe, life-changing, brain injury. It changed his life and the life of his family. True North: My…",-0.7003,0.099,0.303,0.599
18,@BBC,Mon Mar 12 19:23:01 +0000 2018,🌊 These three women are leading the way in ocean exploration. https://t.co/qwkMRVMiNl,0.2263,0.16,0.0,0.84
19,@BBC,Mon Mar 12 18:30:06 +0000 2018,"🗓🥗 A week’s worth of veggie dishes from @ChefTomKerridge, @NigelSlater, @Nigella_Lawson and The @HairyBikers.
👉… https://t.co/VvTZRToT6L",0.2263,0.119,0.0,0.881
20,@BBC,Mon Mar 12 17:30:05 +0000 2018,"'There's nothing in the dictionary for that.'

🎶❤️ The amazing moment eight London teens hear an opera singer in th… https://t.co/J448SabIeC",0.5859,0.16,0.0,0.84
21,@BBC,Mon Mar 12 16:44:15 +0000 2018,"RT @BBCTwo: Meet Marshaal and Amal, two of just six women working at this hotel in Oman.

#AmazingHotels #IWD2018 https://t.co/5zdDAFBrZ9",0.0,0.0,0.0,1.0
22,@BBC,Mon Mar 12 16:24:52 +0000 2018,"RT @BBCOne: To celebrate the life of the amazing Ken Dodd, tonight we will be showing:

22:45 - Arena: Ken Dodd's Happiness
23:45 - Talking…",0.9022,0.357,0.0,0.643
23,@BBC,Mon Mar 12 16:17:43 +0000 2018,RT @BBCnireland: AMAZING OPPORTUNITY: We're looking for female directors aged 18-30. Could you make a short film for BBC NI &amp; @bbcartsshow?…,0.8429,0.298,0.0,0.702
24,@BBC,Mon Mar 12 16:07:16 +0000 2018,"😱 @Beyonce and Jay-Z are going on a joint tour called On The Run II, it has finally been confirmed. 
👉… https://t.co/sG72fSqfRi",0.0,0.0,0.0,1.0
25,@BBC,Mon Mar 12 15:55:51 +0000 2018,"RT @BBCR1: ""Who is your least favourite Carpool Karaoke guest?""
 
@JKCorden always asks difficult questions... So @grimmers let celebs get…",-0.3612,0.0,0.116,0.884
26,@BBC,Mon Mar 12 14:00:09 +0000 2018,"😕 Binoculars, wet wipes, glue, and other confusingly gendered products...
👉 https://t.co/iDxK2oSX4R https://t.co/5NxTrzbdb3",-0.34,0.0,0.194,0.806
27,@BBC,Mon Mar 12 13:30:45 +0000 2018,"French fashion designer Hubert de Givenchy, who created famous looks for Audrey Hepburn and Jackie Kennedy, has die… https://t.co/UuWcTZ46c2",0.25,0.1,0.0,0.9
28,@BBC,Mon Mar 12 13:27:27 +0000 2018,"RT @BBCBreakfast: Let's settle this... Which goes first on a scone, cream or jam? 

@MrDanWalker thinks it should be #jamfirst but @LouiseM…",0.0,0.0,0.0,1.0
29,@BBC,Mon Mar 12 12:59:05 +0000 2018,'Our clothes can be a sixth sense.' https://t.co/DiN7gnxlon,0.0,0.0,0.0,1.0
30,@BBC,Mon Mar 12 12:46:06 +0000 2018,RT @BBCR1: .@thegreatkhalid gives all the goosebumps with his Live Lounge cover of Tracy Chapman's 'Fast Car' ⭐️✨ https://t.co/03fLgeKklj,0.0,0.0,0.0,1.0
31,@BBC,Mon Mar 12 12:40:39 +0000 2018,"RT @bbccomedy: In a nutshell, it's a foregone conclusion that you'll accidentally quote the big man during #ShakespeareWeek. The son of a b…",-0.34,0.0,0.112,0.888
32,@BBC,Mon Mar 12 12:19:24 +0000 2018,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo,0.0,0.0,0.0,1.0
33,@BBC,Mon Mar 12 12:00:09 +0000 2018,"🎭 If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU",0.0,0.0,0.0,1.0
34,@BBC,Mon Mar 12 10:58:16 +0000 2018,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy",-0.6542,0.066,0.225,0.709
35,@BBC,Mon Mar 12 10:55:19 +0000 2018,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…",0.7579,0.282,0.071,0.647
36,@BBC,Mon Mar 12 10:52:55 +0000 2018,"RT @BBCNewsround: Have you been using emojis wrong this whole time? 🙈Yep, apparently there's an official definition now! https://t.co/Xiwan…",-0.5255,0.0,0.159,0.841
37,@BBC,Mon Mar 12 09:58:30 +0000 2018,"💔 Sir Ken Dodd, creator of the Diddy Men and one of the most popular comedians of his time, has died aged 90.
👉… https://t.co/Yw0hzqKjyK",0.2433,0.185,0.119,0.696
38,@BBC,Mon Mar 12 09:00:06 +0000 2018,Is this a 'luxury prison' or the best way to prepare offenders for life outside? https://t.co/uqQZwyCC6S,-0.1531,0.191,0.264,0.545
39,@BBC,Mon Mar 12 08:30:04 +0000 2018,"🍠 Poor, rural societies which ate high-quality, local foods had the best diet and health in mid-Victorian Britain.… https://t.co/P4N0lA74ch",0.2732,0.18,0.133,0.687
40,@BBC,Mon Mar 12 08:00:05 +0000 2018,3 out of 4 parents wouldn’t be able to save their baby from choking. https://t.co/pxYSvLtkBN,0.0516,0.186,0.174,0.64
41,@BBC,Sun Mar 11 21:39:32 +0000 2018,"RT @bbcthree: ""I felt completely overwhelmed and amazed as soon as he was put on my chest."" https://t.co/3FOgymPjhQ",0.6068,0.237,0.0,0.763
42,@BBC,Sun Mar 11 21:22:19 +0000 2018,"🎤✨ Catch the best performances, exclusive backstage footage and photos from #AsianNetworkLive2018 at… https://t.co/nWlJnU6AX9",0.6908,0.322,0.0,0.678
43,@BBC,Sun Mar 11 21:02:37 +0000 2018,"RT @BBCOne: Here's to the memories. ❤️
Thank you for watching #CallTheMidwife with us. https://t.co/G1h78O8Qya",0.3612,0.152,0.0,0.848
44,@BBC,Sun Mar 11 20:00:07 +0000 2018,"Join host @TessDaly for a very special event honouring one of this country's biggest and best-loved entertainers, S… https://t.co/Cym8TQlXhE",0.861,0.43,0.0,0.57
45,@BBC,Sun Mar 11 19:54:20 +0000 2018,"RT @bbcouch: ‘I couldn’t reach Millie in her toughest year’

@knight_millie may be celebrating her second silver medal at the Winter Paraly…",0.765,0.29,0.048,0.662
46,@BBC,Sun Mar 11 19:52:28 +0000 2018,RT @bbcsoutheast: It’s with great sadness we have to report that our sports reporter Neil Bell passed away in the early hours of Sunday mor…,0.296,0.137,0.097,0.767
47,@BBC,Sun Mar 11 19:51:36 +0000 2018,RT @BBCBreakfast: Mary Beard's documentaries about the Romans have brought their ancient world to life - now she's turning her hand to the…,0.4939,0.132,0.0,0.868
48,@BBC,Sun Mar 11 19:51:25 +0000 2018,"RT @BBCiPlayer: I will not allow that man...that nobody...to kill my brother twice. #ACSVersace, now on BBC iPlayer: https://t.co/M1ixQKBH3…",-0.7481,0.0,0.285,0.715
49,@BBC,Sun Mar 11 19:51:12 +0000 2018,RT @BBCOne: Mums have to put up with some right rubbish. https://t.co/mN7f23pPub,0.0,0.0,0.0,1.0
50,@BBC,Sun Mar 11 19:50:11 +0000 2018,RT @BBCSpringwatch: Actual Mother's Day sibling selfie 😘👩‍👧‍👦  #selfie #mothersday #motheringsunday #sunday #winterwatch #wildlife #littleo…,0.0,0.0,0.0,1.0
51,@BBC,Sun Mar 11 19:49:56 +0000 2018,RT @cbbc: Tanya Muzinda is on a mission to conquer the motocross world. Follow her story Monday 5.30pm 🏍️💪 https://t.co/Z9w1GJZS45,0.0,0.0,0.0,1.0
52,@BBC,Sun Mar 11 19:00:03 +0000 2018,"'That was the end of my childhood.'

💔Money saving expert @MartinSLewis opens up about the death of his mum, three… https://t.co/zFdD7gDBmH",-0.5994,0.0,0.163,0.837
53,@BBC,Sun Mar 11 18:00:15 +0000 2018,❤️ These creations are helping to comfort children during their cancer treatment. https://t.co/qque7xnzNx,0.2263,0.353,0.213,0.435
54,@BBC,Sun Mar 11 17:02:03 +0000 2018,🐑 Ewe won't believe how this farmer revives frozen little lambs.  https://t.co/z1UvoIiRXY,0.3818,0.206,0.0,0.794
55,@BBC,Sun Mar 11 16:55:19 +0000 2018,"RT @BBCMOTD: John Motson in his element during his last ever LIVE commentary (would you believe it?!)
50 years as a commentator🎙
10 World C…",0.0,0.0,0.0,1.0
56,@BBC,Sun Mar 11 16:00:04 +0000 2018,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw",0.0,0.0,0.0,1.0
57,@BBC,Sun Mar 11 15:01:05 +0000 2018,🗑🚀 Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd,0.0,0.0,0.0,1.0
58,@BBC,Sun Mar 11 14:43:09 +0000 2018,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box 🎙️⚽️

He'll be commentating on #Arsenal vs #Watfo…",0.0,0.0,0.0,1.0
59,@BBC,Sun Mar 11 14:00:04 +0000 2018,Making fake videos just got easier. https://t.co/VSP9bwHVNZ,-0.0772,0.257,0.284,0.459
60,@BBC,Sun Mar 11 12:33:04 +0000 2018,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. 🔥💪🇺🇸

Captain America: The Winter S… https://t.co/yDWYJRUgGi",-0.5267,0.0,0.145,0.855
61,@BBC,Sun Mar 11 12:00:03 +0000 2018,🚐 Meet Om Abdullah - Egypt's first official female minibus driver. https://t.co/Z4fmE1k5ph,0.0,0.0,0.0,1.0
62,@BBC,Sun Mar 11 11:31:52 +0000 2018,"RT @BBCSport: We're not emotionally ready for this.

John Motson will deliver his final live BBC commentary today.

More details👇
https://t…",-0.2755,0.0,0.095,0.905
63,@BBC,Sun Mar 11 11:10:49 +0000 2018,"RT @CBeebiesHQ: Doesn't matter if your family has:

One Mum👩‍👦

Two Mums 👩‍👩‍👧‍👧

A Grandmum 👵🏼

... they all want a lie-in!

#HappyMothers…",0.1326,0.073,0.05,0.877
64,@BBC,Sun Mar 11 10:32:04 +0000 2018,"🍰 Surprise your mum with a homemade treat this #MothersDay – from easy cupcakes to luscious layer cakes.
👉… https://t.co/p7n5lo2ziD",0.7717,0.355,0.0,0.645
65,@BBC,Sun Mar 11 10:24:05 +0000 2018,"RT @BBCScotland: Undercover filming reveals Scotland's growing 'bag' problem.

See more from #ShortStuff -  https://t.co/orhxUmskEd 

#come…",-0.25,0.098,0.155,0.747
66,@BBC,Sun Mar 11 10:05:01 +0000 2018,🐷 Blossom the pig can sit on command! https://t.co/mRGtuk0zqh,0.0,0.0,0.0,1.0
67,@BBC,Sun Mar 11 10:02:15 +0000 2018,"RT @BBC6Music: 🎂 6 Music launched 16 years ago today. 

When you turned 16, which album did you think was a masterpiece? Do you still love…",0.6808,0.211,0.0,0.789
68,@BBC,Sun Mar 11 09:38:23 +0000 2018,"RT @1Xtra: The new breed a dancehall artist @thebellablair performs for @davidrodigan #1XtraJamaica 

📺▶ https://t.co/MrnHDz2ZyL https://t.…",0.0,0.0,0.0,1.0
69,@BBC,Sun Mar 11 09:35:38 +0000 2018,"RT @BBCRadio3: ""To my first Love, my Mother, on whose knee
I learnt love-lore that is not troublesome""
Christina Rossetti's 'Sonnets are fu…",0.7847,0.257,0.0,0.743
70,@BBC,Sun Mar 11 09:33:16 +0000 2018,RT @TWBBC: Fry-up anyone?  🌭🥓🍳 Did you know just 1.5 sausages could reduce your lifespan by 30 minutes? But 2-3 cups of coffee could gain y…,0.5803,0.131,0.0,0.869
71,@BBC,Sun Mar 11 09:30:10 +0000 2018,During the Middle Ages the custom developed of allowing people who had moved away to return and visit their mothers… https://t.co/UQD2ySeRH4,0.0,0.0,0.0,1.0
72,@BBC,Sun Mar 11 08:32:02 +0000 2018,🎤🎶 Singing is for everyone... even if you can't sing. https://t.co/eVIdGhswUT,0.0,0.0,0.0,1.0
73,@BBC,Sun Mar 11 08:02:00 +0000 2018,"❤️ Happy #MothersDay to all of the amazing mums out there, the mums-to-be and the mums who live on in our hearts.… https://t.co/v9yrzvfhqO",0.8176,0.263,0.0,0.737
74,@BBC,Sun Mar 11 08:00:48 +0000 2018,"RT @BBCWales: 💐 What better way to say Happy Mother's Day than with a marvellous marshmallow bouquet! 💐

🍡 Let little hands tackle this tas…",0.784,0.266,0.0,0.734
75,@BBC,Sun Mar 11 07:49:57 +0000 2018,RT @BBCTwo: Celebrate #MothersDay with the #Motherland guide to good parenting... 😂 https://t.co/GMZLEfWuaF,0.765,0.398,0.0,0.602
76,@BBC,Sun Mar 11 02:07:01 +0000 2018,"RT @bbcasiannetwork: 🎇The Desi party don't start until you've heard @jennyjohalmusic singing 'Narma'  🎇 
#AsianNetworkLive https://t.co/lah…",0.4019,0.162,0.0,0.838
77,@BBC,Sat Mar 10 20:43:01 +0000 2018,"RT @BBCRadio2: She did it! Over 300 miles cycled. Over £500,000 raised so far for @SportRelief.

@ZoeTheBall, we are so proud! 👏

Donate to…",0.6783,0.172,0.0,0.828
78,@BBC,Sat Mar 10 20:41:35 +0000 2018,"RT @BBCTwo: A shocking moment in history that changed the fashion world forever.

#ACSVersace continues Wednesday, 9pm, @BBCTwo. https://t.…",-0.4019,0.0,0.137,0.863
79,@BBC,Sat Mar 10 20:40:14 +0000 2018,"RT @BBCWales: Meet YouTube superstar @Gonth93

💰 Welcome to the world of #YoungWelshPrettyMinted 💰

Tonight, 10.35pm - @BBCOne Wales
Availa…",0.4588,0.158,0.0,0.842
80,@BBC,Sat Mar 10 20:28:00 +0000 2018,"RT @bbcrb: This. Is. So. Cute! 😍
Who wouldn't love a tiny meal like this! 🤤🥘 https://t.co/73t4rhbopo",0.4605,0.293,0.155,0.552
81,@BBC,Sat Mar 10 20:27:17 +0000 2018,"RT @BBCScotland: Cathy's been having a great time at the spa! 🇧🇷

Watch #TwoDoorsDown on @BBCiPlayer - https://t.co/JgbkHFXufb https://t.co…",0.6588,0.215,0.0,0.785
82,@BBC,Sat Mar 10 20:25:58 +0000 2018,"RT @bbcasiannetwork: 🎤 Don't miss a single bit of #AsianNetworkLive🎶 
Here's how to make sure you catch ALL the action 👉 https://t.co/AZIif…",0.4106,0.18,0.0,0.82
83,@BBC,Sat Mar 10 20:24:22 +0000 2018,RT @BBCiPlayer: Police officer Kris was left paralysed after being hit by a van in the Westminster bridge terrorist attack. Seven months la…,-0.8316,0.0,0.281,0.719
84,@BBC,Sat Mar 10 20:24:07 +0000 2018,"RT @BBCSport: Ireland have been crowned Six Nations champions with a match to spare.

https://t.co/YFyOxSY0Tp #SixNations https://t.co/K34r…",0.5267,0.185,0.0,0.815
85,@BBC,Sat Mar 10 18:11:11 +0000 2018,"RT @bbcasiannetwork: 💥#AsianNetworkLive is taking over the airwaves tonight!
Catch all the action from
🔴 6pm on @bbcasiannetwork
🔴 7pm on @…",0.0,0.0,0.0,1.0
86,@BBC,Sat Mar 10 18:10:57 +0000 2018,"RT @bbcasiannetwork: Which #AsianNetworkLive performance can't you wait for? 🤩 
🎤 @jaysean
🎤 @JasmineSandlas
🎤 @lottoboyzz_
🎤 @omgAdamSaleh…",0.0,0.0,0.0,1.0
87,@BBC,Sat Mar 10 18:00:13 +0000 2018,🐮🥛 Glass from the past. https://t.co/stRtHiAGGI,0.0,0.0,0.0,1.0
88,@BBC,Sat Mar 10 17:00:18 +0000 2018,"📸❤️ A different portrait of black fatherhood. 
👉 https://t.co/SX1Lbqsss0 https://t.co/WQnNbAfIYK",0.0,0.0,0.0,1.0
89,@BBC,Sat Mar 10 16:30:07 +0000 2018,Have we got depression wrong? https://t.co/yFPp67xmxe,-0.7783,0.0,0.63,0.37
90,@BBC,Sat Mar 10 15:59:11 +0000 2018,"RT @mixital: Enjoying @BBCOne’s Troy? 

Join our new creative challenge &amp; create your own #Troy art! Grab images from our website, make the…",0.8805,0.404,0.0,0.596
91,@BBC,Sat Mar 10 15:53:39 +0000 2018,"RT @BBCWales: 'Feel the fear and do it anyway'

That's Dilys's motto, and she's the @GWR holder for the Oldest Woman Skydiver in the world!…",-0.5411,0.0,0.127,0.873
92,@BBC,Sat Mar 10 15:32:03 +0000 2018,"🤖😱 The robots are coming! 

And this time they want to design and assemble your furniture. 😄 https://t.co/naCu7LJ0Mf",0.1511,0.09,0.0,0.91
93,@BBC,Sat Mar 10 15:00:05 +0000 2018,❤️🐿 The pine marten has emerged as an unlikely ally for the beleaguered native red squirrel in its battle with the… https://t.co/aaJ1XuLJ78,-0.3818,0.0,0.11,0.89
94,@BBC,Sat Mar 10 14:00:08 +0000 2018,🍴 Do you know how many calories were in your lunch?https://t.co/ouomQAA92I,0.0,0.0,0.0,1.0
95,@BBC,Sat Mar 10 13:14:03 +0000 2018,"Hindered by short-term memory loss, a man struggles to piece his life back together after his wife's murder.… https://t.co/IDASykaROO",-0.5859,0.0,0.231,0.769
96,@BBC,Sat Mar 10 13:00:04 +0000 2018,"Heartbreaking. 
https://t.co/W8GJNKq8rm",-0.4588,0.0,0.75,0.25
97,@BBC,Sat Mar 10 13:00:03 +0000 2018,😂🔥 @GordonRamsay's daughter got him good! https://t.co/0dqwntX5uj,0.4926,0.347,0.0,0.653
98,@BBC,Sat Mar 10 13:00:03 +0000 2018,"❤️😭 We're not crying... you're crying. 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX",0.3724,0.242,0.0,0.758
99,@BBC,Sat Mar 10 13:00:03 +0000 2018,😱 Baptism at this church can be a matter of life and death. https://t.co/aEsVqMUPQ2,-0.5859,0.073,0.26,0.667
100,@BBC,Sat Mar 10 12:00:04 +0000 2018,Don't look down! 😣 https://t.co/r4ChPajO4A,0.0,0.0,0.0,1.0
1,@CBS,Tue Mar 13 18:48:52 +0000 2018,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",0.3612,0.143,0.0,0.857
2,@CBS,Tue Mar 13 14:15:10 +0000 2018,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",0.539,0.179,0.0,0.821
3,@CBS,Mon Mar 12 18:13:28 +0000 2018,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,0.2244,0.083,0.0,0.917
4,@CBS,Mon Mar 12 01:20:43 +0000 2018,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",0.0,0.0,0.0,1.0
5,@CBS,Fri Mar 09 22:48:26 +0000 2018,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,0.4926,0.117,0.0,0.883
6,@CBS,Fri Mar 09 22:24:20 +0000 2018,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",0.1275,0.113,0.092,0.795
7,@CBS,Fri Mar 09 21:10:21 +0000 2018,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",0.4215,0.177,0.0,0.823
8,@CBS,Fri Mar 09 18:27:28 +0000 2018,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",0.8658,0.447,0.0,0.553
9,@CBS,Fri Mar 09 16:02:27 +0000 2018,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,0.0,0.0,0.0,1.0
10,@CBS,Thu Mar 08 18:00:49 +0000 2018,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,0.8625,0.336,0.0,0.664
11,@CBS,Thu Mar 08 17:03:04 +0000 2018,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,0.4926,0.132,0.0,0.868
12,@CBS,Wed Mar 07 18:39:10 +0000 2018,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",-0.2023,0.15,0.23,0.619
13,@CBS,Wed Mar 07 17:06:02 +0000 2018,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,0.0,1.0
14,@CBS,Tue Mar 06 18:10:59 +0000 2018,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",0.6705,0.244,0.0,0.756
15,@CBS,Mon Mar 05 22:16:43 +0000 2018,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",0.3818,0.167,0.0,0.833
16,@CBS,Sun Mar 04 08:05:26 +0000 2018,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",0.4404,0.116,0.0,0.884
17,@CBS,Sat Mar 03 20:55:20 +0000 2018,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",0.0,0.0,0.0,1.0
18,@CBS,Fri Mar 02 22:30:01 +0000 2018,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",0.7096,0.247,0.0,0.753
19,@CBS,Fri Mar 02 20:30:01 +0000 2018,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",0.7096,0.282,0.0,0.718
20,@CBS,Fri Mar 02 18:45:00 +0000 2018,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",0.4939,0.151,0.0,0.849
21,@CBS,Thu Mar 01 18:59:01 +0000 2018,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,-0.6981,0.0,0.21,0.79
22,@CBS,Thu Mar 01 18:12:57 +0000 2018,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",0.4547,0.159,0.092,0.749
23,@CBS,Thu Mar 01 18:11:50 +0000 2018,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,0.8591,0.538,0.0,0.462
24,@CBS,Thu Mar 01 18:10:50 +0000 2018,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,0.4885,0.234,0.151,0.615
25,@CBS,Thu Mar 01 14:36:21 +0000 2018,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",0.5994,0.178,0.0,0.822
26,@CBS,Thu Mar 01 14:29:20 +0000 2018,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",0.7717,0.325,0.0,0.675
27,@CBS,Thu Mar 01 14:15:29 +0000 2018,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",0.6908,0.275,0.0,0.725
28,@CBS,Thu Mar 01 13:50:11 +0000 2018,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",0.0,0.0,0.0,1.0
29,@CBS,Thu Mar 01 01:04:52 +0000 2018,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,0.0,0.0,0.0,1.0
30,@CBS,Wed Feb 28 19:56:58 +0000 2018,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",0.0,0.0,0.0,1.0
31,@CBS,Wed Feb 28 19:08:30 +0000 2018,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",0.4404,0.116,0.0,0.884
